Order,Yr Sold,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,SalePrice,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Mo Sold,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Open Porch SF,Foundation,Bsmt Qual,Wood Deck SF,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Fireplace Qu,Garage Yr Blt,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Garage Type,Garage Finish
1321,2008,75,RM,75,13500,Pave,325000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,7,1Fam,2.5Unf,10,9,1893,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Ex,502,BrkTil,TA,105,No,Unf,0,Unf,0,1237,1237,GasA,Gd,Gd,1988,1521,1254,0,2775,0,0,3,1,3,1,Gd,9,Typ,Detchd,Unf
1322,2008,70,RM,60,11340,Pave,55000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,11,1Fam,2Story,2,1,1920,1950,Gable,CompShg,AsbShng,AsbShng,None,0,Fa,24,BrkTil,Fa,0,No,Unf,0,Unf,0,723,723,GasA,TA,NA,1920,723,363,0,1086,0,0,1,0,2,1,TA,5,Maj1,Detchd,Unf
1323,2008,70,RM,60,10800,Pave,184000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,12,1Fam,2Story,7,7,1890,1999,Gable,CompShg,Wd Sdng,Wd Shng,None,0,TA,299,BrkTil,TA,0,Mn,Unf,0,Unf,0,1313,1313,GasW,Gd,Gd,1950,1313,1182,0,2495,0,0,2,0,5,1,TA,10,Typ,Detchd,Unf
1324,2008,20,RM,65,9750,Pave,110000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,6,1Fam,1Story,5,6,1959,1959,Gable,CompShg,MetalSd,MetalSd,BrkFace,164,TA,0,CBlock,TA,0,No,Rec,200,Unf,0,784,984,GasA,Gd,NA,1959,984,0,0,984,1,0,1,0,2,1,Fa,5,Typ,Detchd,Unf
1325,2008,50,RM,81,12150,Pave,131500,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,11,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335,TA,0,BrkTil,TA,0,No,Unf,0,Unf,0,1050,1050,GasA,Ex,NA,1954,1050,745,0,1795,0,0,2,0,4,1,TA,7,Typ,Attchd,Unf
1326,2008,20,RM,70,12702,Pave,97000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,12,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,None,0,TA,45,PConc,NA,0,NA,NA,0,NA,0,0,0,GasA,Gd,NA,1956,882,0,0,882,0,0,1,0,2,1,TA,4,Typ,Detchd,Unf
1327,2008,20,RM,52,8516,Pave,115500,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,5,1Fam,1Story,4,6,1958,2006,Gable,CompShg,MetalSd,MetalSd,None,0,TA,0,CBlock,TA,0,No,Unf,0,Unf,0,869,869,GasA,TA,NA,1959,1093,0,0,1093,0,0,1,0,2,1,TA,5,Typ,Detchd,Unf
1328,2008,30,RL,55,7111,Pave,138000,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,7,1Fam,1Story,5,7,1928,1983,Gable,CompShg,WdShing,Wd Shng,None,0,Gd,0,BrkTil,TA,265,No,LwQ,406,BLQ,273,329,1008,GasA,TA,Po,1992,1143,0,0,1143,0,0,1,0,2,1,TA,5,Typ,Detchd,Unf
1329,2008,50,RM,,7425,Pave,108000,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,RRAn,8,1Fam,1.5Fin,7,7,1945,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,0,CBlock,TA,210,No,Unf,0,Unf,0,672,672,GasA,Gd,NA,1945,1195,473,0,1668,0,0,1,1,3,1,Gd,8,Typ,Attchd,Unf
1330,2008,40,RM,50,9100,Pave,79500,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,8,1Fam,1Story,5,6,1930,1960,Gable,CompShg,VinylSd,VinylSd,None,0,TA,0,BrkTil,TA,0,No,Unf,0,Unf,0,742,742,GasA,TA,NA,1988,779,0,156,935,0,0,1,0,2,1,TA,4,Typ,Detchd,Unf
1331,2008,50,RL,,7010,Pave,153000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,7,1Fam,1.5Fin,5,5,1935,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,30,BrkTil,TA,0,No,Rec,175,Unf,0,849,1024,GasA,TA,Gd,1950,1144,594,0,1738,0,0,2,0,3,1,TA,6,Typ,Detchd,Unf
1332,2008,45,RM,50,6130,Pave,109500,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,5,1Fam,1.5Unf,5,6,1924,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,0,BrkTil,TA,0,No,ALQ,784,Unf,0,0,784,GasA,Gd,NA,,784,0,0,784,1,0,1,0,2,1,Gd,5,Typ,NA,NA
1333,2008,50,RM,50,5000,Pave,124000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,5,1Fam,1.5Fin,5,7,1941,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,0,CBlock,TA,0,No,ALQ,600,Unf,0,72,672,GasA,Ex,NA,1941,832,378,0,1210,0,0,1,0,3,1,Gd,6,Typ,Detchd,Unf
1334,2008,70,RM,59,5870,Pave,106900,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,4,1Fam,2Story,6,9,1900,2000,Gable,CompShg,HdBoard,HdBoard,None,0,TA,112,BrkTil,TA,38,No,Unf,0,Unf,0,554,554,GasA,Ex,NA,1926,736,554,0,1290,0,0,1,1,3,1,TA,6,Typ,Detchd,Unf
1335,2008,50,RM,50,6000,Pave,164900,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,7,1Fam,1.5Fin,6,7,1940,1989,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,11,CBlock,TA,0,No,ALQ,521,Unf,0,460,981,GasA,Ex,Gd,1940,1014,658,0,1672,0,0,1,1,3,1,Gd,6,Typ,Detchd,Unf
1336,2008,30,RM,50,6000,Pave,119000,Reg,HLS,AllPub,Inside,Gtl,BrkSide,Norm,7,1Fam,1Story,5,7,1924,2003,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,0,BrkTil,TA,0,No,Unf,0,Unf,0,949,949,GasA,Ex,Fa,1924,949,0,0,949,0,0,1,0,2,1,TA,5,Typ,Detchd,Unf
1337,2008,50,RM,50,6000,Pave,120000,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,7,1Fam,1.5Fin,6,7,1929,1950,Gable,CompShg,WdShing,Wd Shng,None,0,TA,0,BrkTil,TA,0,No,Unf,0,Unf,0,862,862,GasA,TA,Gd,1929,950,208,0,1158,0,0,1,0,3,1,TA,5,Typ,BuiltIn,RFn
1338,2008,50,RM,50,6000,Pave,157000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,5,1Fam,1.5Fin,6,7,1937,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,0,BrkTil,TA,272,No,Rec,201,LwQ,162,462,825,GasA,Ex,NA,2004,825,672,0,1497,0,0,2,0,3,1,TA,5,Typ,Detchd,Unf
1339,2008,50,RM,50,6000,Pave,105000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,4,1Fam,1.5Fin,6,5,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,0,CBlock,TA,0,No,LwQ,264,Unf,0,475,739,GasA,Ex,Gd,1939,874,468,0,1342,0,0,2,0,2,2,TA,7,Typ,Detchd,Unf
1340,2008,45,RM,50,5000,Pave,113000,Reg,Bnk,AllPub,Inside,Mod,BrkSide,Norm,4,1Fam,1.5Unf,6,7,1926,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,0,BrkTil,TA,0,No,Unf,0,Unf,0,992,992,GasA,Ex,NA,1926,1013,0,0,1013,0,0,1,0,3,1,TA,6,Typ,Detchd,Unf
1341,2008,50,RM,60,5520,Pave,115000,IR1,Lvl,AllPub,FR2,Gtl,BrkSide,Feedr,4,1Fam,1.5Fin,5,7,1920,1997,Gable,CompShg,AsbShng,AsbShng,None,0,TA,0,BrkTil,TA,0,No,ALQ,68,Unf,0,497,565,GasA,TA,Gd,1920,565,651,0,1216,1,0,1,0,3,1,TA,6,Typ,BuiltIn,RFn
1342,2008,20,RM,99,5940,Pave,79000,IR1,Lvl,AllPub,FR3,Gtl,BrkSide,Feedr,4,1Fam,1Story,4,7,1946,1950,Gable,CompShg,MetalSd,CBlock,None,0,TA,0,PConc,,0,,,,,,,,GasA,TA,NA,1946,896,0,0,896,,,1,0,2,1,TA,4,Typ,Detchd,Unf
1343,2008,50,RM,52,6240,Pave,123000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,8,1Fam,1.5Fin,4,7,1929,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,365,PConc,TA,0,No,BLQ,80,Unf,0,624,704,GasA,Ex,NA,1990,624,512,0,1136,0,1,1,0,2,1,TA,6,Typ,Detchd,Unf
1344,2008,30,RM,,6120,Pave,81300,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,6,1Fam,1Story,5,6,1945,1995,Gable,CompShg,Plywood,Plywood,None,0,TA,48,CBlock,NA,0,NA,NA,0,NA,0,0,0,GasA,Gd,NA,1925,808,0,0,808,0,0,1,0,1,1,TA,6,Min2,Attchd,Unf
1345,2008,50,RM,52,6240,Pave,162900,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,6,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,None,0,TA,0,PConc,TA,0,No,Unf,0,Unf,0,1078,1078,GasA,TA,Gd,1930,1128,445,0,1573,0,0,2,0,3,1,TA,8,Typ,Detchd,Unf
1346,2008,50,RM,52,6240,Pave,150000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,1,1Fam,1.5Fin,7,5,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,20,BrkTil,TA,0,Mn,Rec,300,LwQ,240,449,989,GasA,TA,Gd,1939,1245,764,0,2009,0,0,2,0,4,1,TA,7,Min2,Detchd,Unf
1347,2008,70,RM,51,6120,Pave,123500,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,10,1Fam,2Story,5,5,1923,1950,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0,TA,139,BrkTil,TA,0,No,LwQ,203,Unf,0,897,1100,GasA,TA,NA,1960,1226,676,0,1902,0,0,2,0,4,1,TA,7,Typ,Detchd,Unf
1348,2008,50,RM,51,6120,Pave,129900,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,4,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0,TA,0,BrkTil,TA,90,No,Unf,0,Unf,0,952,952,GasA,Gd,TA,1931,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,Detchd,Unf
1349,2008,70,RM,60,6155,Pave,128000,IR1,Lvl,AllPub,FR3,Gtl,BrkSide,RRNn,6,1Fam,2Story,6,8,1920,1999,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,0,BrkTil,Fa,0,Mn,Unf,0,Unf,0,611,611,GasA,Ex,NA,1920,751,611,0,1362,0,0,2,0,3,1,TA,6,Typ,Detchd,Fin
1350,2008,30,RM,60,6324,Pave,68500,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,5,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,0,BrkTil,TA,49,No,Unf,0,Unf,0,520,520,GasA,Fa,NA,1920,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,Detchd,Unf
1351,2008,50,RM,50,8635,Pave,127000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,1,1Fam,1.5Fin,5,5,1948,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,0,CBlock,TA,0,No,BLQ,336,GLQ,41,295,672,GasA,TA,NA,1948,1072,213,0,1285,1,0,1,0,2,1,TA,6,Min1,Detchd,Unf
1352,2008,50,RL,64,13053,Pave,207000,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,6,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0,TA,0,BrkTil,TA,0,No,Unf,0,Unf,0,833,833,GasA,Gd,Gd,1922,1053,795,0,1848,0,0,1,1,4,1,Gd,8,Typ,Detchd,Unf
1353,2008,50,RL,60,9120,Pave,184000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,6,1Fam,1.5Fin,7,6,1925,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,100,PConc,TA,0,No,Rec,329,Unf,0,697,1026,GasA,Ex,NA,1925,1133,687,0,1820,1,0,2,0,4,1,TA,8,Typ,Detchd,Unf
1354,2008,50,RL,60,9144,Pave,162500,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,3,1Fam,1.5Fin,6,4,1915,2004,Gable,CompShg,VinylSd,VinylSd,None,0,TA,195,BrkTil,TA,0,No,Unf,0,Unf,0,810,810,GasA,Ex,NA,1970,1170,546,0,1716,0,0,2,0,4,1,Gd,8,Typ,Detchd,Unf
1355,2008,50,RL,,9144,Pave,145000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,7,1Fam,1.5Fin,5,5,1940,1982,Gable,CompShg,MetalSd,MetalSd,None,0,TA,0,CBlock,TA,0,No,Rec,399,Unf,0,484,883,GasA,Gd,NA,1940,988,517,0,1505,1,0,1,0,3,1,TA,8,Typ,Detchd,Unf
1356,2008,30,RL,55,10267,Pave,130000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,5,1Fam,1Story,6,7,1918,2000,Gable,CompShg,Stucco,Wd Shng,None,0,TA,0,BrkTil,TA,0,Mn,Rec,210,ALQ,606,0,816,GasA,Ex,NA,1961,838,0,0,838,1,0,1,0,2,1,Fa,5,Typ,Detchd,Fin
1357,2008,60,RM,57,8094,Pave,160000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,9,2fmCon,2.5Unf,6,8,1910,1983,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,0,PConc,TA,64,Mn,Rec,196,Unf,0,1046,1242,GasA,Gd,NA,,1242,742,0,1984,0,0,2,0,5,1,TA,8,Typ,Detchd,
1358,2008,70,RM,,5100,Pave,161000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,6,1Fam,2Story,8,7,1925,1996,Hip,CompShg,Stucco,Wd Shng,None,0,TA,63,PConc,TA,192,No,Unf,0,Unf,0,588,588,GasA,Fa,Gd,1925,833,833,0,1666,0,0,1,0,3,1,Gd,7,Typ,Detchd,Unf
1359,2008,50,RM,63,4347,Pave,127500,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,6,1Fam,1.5Fin,6,8,1910,1950,Gambrel,CompShg,MetalSd,MetalSd,None,0,Gd,182,BrkTil,Gd,0,No,Unf,0,Unf,0,796,796,GasA,Ex,NA,1910,825,784,0,1609,0,0,1,0,3,1,TA,7,Typ,Detchd,Unf
1360,2008,30,RM,,6291,Grvl,93850,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,RRNe,7,1Fam,1Story,6,6,1930,1950,Gable,CompShg,Stucco,Wd Shng,None,0,Gd,0,BrkTil,TA,0,No,Unf,0,Unf,0,768,768,GasA,TA,NA,1930,768,0,0,768,0,0,1,0,1,1,TA,4,Typ,Detchd,Unf
1361,2008,70,RM,60,10266,Pave,136000,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,5,1Fam,2Story,6,6,1952,1952,Gable,CompShg,MetalSd,MetalSd,None,0,TA,216,CBlock,TA,0,No,Rec,372,Unf,0,396,768,GasA,TA,NA,1952,768,768,0,1536,0,0,1,1,4,1,TA,7,Typ,Detchd,Unf
1362,2008,50,RM,60,6876,Pave,141000,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,11,1Fam,1.5Fin,6,6,1938,1958,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,34,BrkTil,TA,0,No,Unf,0,Unf,0,1272,1272,GasA,TA,Gd,1938,1272,0,697,1969,0,0,2,0,4,1,TA,9,Min1,Detchd,Unf
1363,2008,50,RM,,10320,Pave,120000,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,4,1Fam,1.5Fin,5,6,1915,1978,Gable,CompShg,HdBoard,HdBoard,None,0,TA,0,BrkTil,TA,0,No,Unf,0,Unf,0,880,880,GasA,Gd,NA,1950,880,428,0,1308,0,0,2,0,2,1,TA,6,Typ,Detchd,Unf
1364,2008,30,RM,60,7200,Pave,127500,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,7,1Fam,1Story,6,7,1925,1992,Gable,CompShg,VinylSd,VinylSd,None,0,TA,132,CBlock,TA,0,No,Unf,0,Unf,0,1040,1040,GasA,Gd,NA,1993,1040,0,0,1040,0,0,1,0,2,1,TA,5,Typ,Detchd,Unf
1365,2008,50,RM,62,7006,Pave,127000,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,8,1Fam,1.5Fin,6,6,1925,1950,Gable,CompShg,Stucco,Stucco,None,0,TA,0,PConc,TA,0,No,Rec,121,Unf,0,647,768,GasA,TA,Gd,1985,788,448,0,1236,1,0,2,0,3,1,TA,6,Typ,Detchd,Unf
1366,2008,50,RM,,7920,Pave,89500,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,3,1Fam,1.5Fin,6,7,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,144,CBlock,TA,0,No,Unf,0,Unf,0,319,319,GasA,TA,NA,,1035,371,0,1406,0,0,1,0,3,1,Fa,6,Typ,NA,NA
1367,2008,20,RM,49,8235,Pave,125000,IR1,HLS,AllPub,Inside,Gtl,OldTown,Feedr,6,1Fam,1Story,5,7,1955,1995,Gable,CompShg,MetalSd,MetalSd,None,0,TA,50,CBlock,TA,140,No,LwQ,180,Rec,645,0,825,GasA,TA,NA,1963,825,0,0,825,1,0,1,0,2,1,TA,4,Typ,Detchd,RFn
1368,2008,50,RM,60,5586,Pave,79900,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,9,1Fam,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,None,0,TA,98,BrkTil,TA,0,No,Unf,0,Unf,0,901,901,GasA,Gd,NA,,1088,110,0,1198,0,0,1,0,4,1,TA,7,Typ,NA,NA
1369,2008,30,RM,60,10320,Pave,85000,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,RRNe,8,1Fam,1Story,5,8,1912,1991,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,0,BrkTil,Fa,40,No,Unf,0,Unf,0,451,451,GasA,TA,NA,1997,759,0,0,759,0,0,1,0,1,1,TA,5,Typ,Detchd,Unf
1370,2008,190,RM,60,10320,Pave,82375,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,5,2fmCon,2Story,3,3,1915,1950,Gable,CompShg,AsphShn,AsphShn,None,0,Fa,0,PConc,TA,42,No,Unf,0,Unf,0,536,536,GasA,Ex,NA,,808,536,0,1344,0,0,2,0,3,2,TA,8,Typ,NA,NA
1371,2008,50,RM,60,10320,Pave,135000,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,6,1Fam,1.5Fin,6,7,1906,1995,Gable,CompShg,MetalSd,MetalSd,None,0,TA,0,CBlock,TA,57,No,Unf,0,Unf,0,756,756,GasA,Ex,NA,1906,756,713,0,1469,0,0,1,0,3,1,TA,7,Typ,Detchd,Unf
1372,2008,20,RL,82,9488,Pave,124000,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,9,1Fam,1Story,5,6,1947,1993,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,60,CBlock,TA,0,No,Unf,0,Unf,0,1046,1046,GasA,Gd,NA,1947,1054,0,0,1054,0,0,1,0,3,1,TA,6,Typ,Detchd,Unf
1373,2008,20,RL,55,8250,Pave,134000,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,8,1Fam,1Story,5,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,None,0,TA,63,CBlock,TA,0,No,BLQ,250,LwQ,492,210,952,GasA,Ex,TA,1968,1211,0,0,1211,0,0,1,0,3,1,TA,5,Typ,Attchd,Unf
1374,2008,50,RL,115,21286,Pave,135000,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,8,1Fam,1.5Fin,5,5,1948,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,0,CBlock,TA,0,No,Unf,0,Unf,0,720,720,GasA,TA,Gd,1948,720,551,0,1271,0,0,2,0,4,1,TA,7,Typ,Attchd,Unf
1375,2008,50,RL,80,17120,Pave,134432,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,7,1Fam,1.5Fin,4,4,1959,1959,Gable,CompShg,WdShing,Plywood,None,0,TA,59,CBlock,NA,0,NA,NA,0,NA,0,0,0,GasA,TA,Gd,1991,1120,468,0,1588,0,0,2,0,4,1,TA,7,Min2,Detchd,Fin
1376,2008,190,RL,62,10106,Pave,127500,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,9,2fmCon,1.5Fin,5,7,1940,1999,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,0,BrkTil,TA,140,No,ALQ,351,Rec,181,112,644,GasA,Gd,NA,,808,547,0,1355,1,0,2,0,4,2,TA,6,Typ,NA,NA
1377,2008,85,RL,,11235,Pave,148000,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,5,1Fam,SFoyer,5,6,1963,1963,Gable,CompShg,HdBoard,Wd Sdng,None,0,TA,0,CBlock,Gd,64,Av,ALQ,784,Unf,0,197,981,GasA,TA,NA,1996,1075,0,0,1075,1,0,1,0,3,1,Gd,6,Typ,Detchd,Unf
1378,2008,20,RL,70,11200,Pave,129500,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,2,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,TA,0,CBlock,TA,0,No,Rec,906,Unf,0,134,1040,GasA,Ex,NA,1965,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,Detchd,Unf
1379,2008,80,RL,80,13014,Pave,157500,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,12,1Fam,SLvl,6,5,1978,1978,Gable,CompShg,HdBoard,Plywood,BrkFace,39,TA,0,CBlock,TA,168,Av,ALQ,528,Unf,0,480,1008,GasA,TA,Fa,1978,1096,0,0,1096,1,0,1,0,3,1,TA,6,Typ,Attchd,Unf
1380,2008,20,RL,,7162,Pave,109900,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,12,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,BrkCmn,41,TA,0,PConc,TA,0,No,Unf,0,Unf,0,876,876,GasA,TA,NA,1966,904,0,0,904,0,0,1,0,3,1,TA,6,Typ,Attchd,Unf
1381,2008,20,RL,68,10265,Pave,145000,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,7,1Fam,1Story,5,7,1967,2005,Gable,CompShg,HdBoard,HdBoard,None,0,TA,0,CBlock,TA,204,No,ALQ,758,Unf,0,234,992,GasA,Ex,NA,1967,992,0,0,992,1,0,1,0,3,1,Gd,6,Typ,Attchd,RFn
1382,2008,20,RL,57,9764,Pave,130000,IR1,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,5,1Fam,1Story,5,7,1967,2003,Gable,CompShg,VinylSd,VinylSd,None,0,TA,0,CBlock,TA,0,No,BLQ,702,Unf,0,192,894,GasA,Ex,NA,1967,894,0,0,894,1,0,1,0,3,1,Gd,5,Typ,Attchd,RFn
1383,2008,85,RL,,7703,Pave,153000,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,5,1Fam,SFoyer,6,8,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkCmn,40,TA,0,CBlock,Gd,311,Gd,ALQ,450,Unf,0,0,450,GasA,Ex,Po,1978,1034,0,0,1034,0,1,1,0,3,1,TA,6,Typ,Basment,Fin
1384,2008,20,RL,,9981,Pave,120000,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,3,1Fam,1Story,5,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,340,TA,90,CBlock,TA,0,Mn,BLQ,221,Unf,0,852,1073,GasA,Gd,NA,1967,1073,0,0,1073,0,0,1,0,3,1,TA,6,Typ,Attchd,RFn
1385,2008,85,RL,,7400,Pave,152000,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,3,1Fam,SFoyer,5,5,1984,1984,Gable,CompShg,VinylSd,VinylSd,None,0,TA,0,PConc,Gd,178,Av,LwQ,104,ALQ,956,0,1060,GasA,TA,NA,1984,1126,0,0,1126,1,0,1,0,2,1,TA,5,Typ,Attchd,Unf
1386,2008,90,RL,60,12900,Pave,108959,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,1,Duplex,SFoyer,4,4,1969,1969,Gable,CompShg,Plywood,Plywood,None,0,TA,0,CBlock,Gd,120,Av,GLQ,1198,Unf,0,0,1198,GasA,TA,NA,1969,1258,0,0,1258,2,0,0,2,0,2,TA,6,Typ,CarPort,Unf
1387,2008,190,RL,60,12900,Pave,95541,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,1,2fmCon,1Story,5,4,1920,1950,Gable,CompShg,BrkFace,Stucco,None,0,TA,0,PConc,TA,0,No,BLQ,1300,Unf,0,0,1300,GasA,Fa,NA,1920,1140,0,0,1140,1,0,1,0,3,1,TA,6,Typ,CarPort,Unf
1388,2008,20,RL,,9000,Pave,80000,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,7,1Fam,1Story,5,3,1959,1959,Gable,CompShg,Wd Sdng,Plywood,None,0,TA,24,CBlock,TA,0,No,GLQ,288,Unf,0,718,1006,GasA,TA,NA,,1006,0,0,1006,0,0,1,0,3,1,TA,5,Typ,NA,NA
1389,2008,20,RL,,8544,Pave,149350,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,6,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0,TA,65,CBlock,TA,0,No,Unf,0,Unf,0,1228,1228,GasA,Gd,NA,1966,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,Attchd,Unf
1390,2008,20,RL,94,9239,Pave,144900,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,5,1Fam,1Story,5,8,1963,2003,Gable,CompShg,VinylSd,VinylSd,None,0,TA,0,CBlock,TA,168,No,GLQ,634,Unf,0,326,960,GasA,Ex,NA,1963,960,0,0,960,1,0,1,0,3,1,Gd,6,Typ,Attchd,Fin
